"Country","First.Name","Last.Name","Team","Name"
"Argentina","Nicolas","Brussino","ATL","Nicolas Brussino"
"Argentina","Manu","Ginobili","SAS","Manu Ginobili"
"Australia","Kyrie","Irving","BOS","Kyrie Irving"
"Australia","Aron","Baynes","BOS","Aron Baynes"
"Australia","Andrew","Bogut","LAL","Andrew Bogut"
"Australia","Matthew","Dellavedova","MIL","Matthew Dellavedova"
"Australia","Ben","Simmons","PHI","Ben Simmons"
"Australia","Patty","Mills","SAS","Patty Mills"
"Australia","Dante","Exum","UTA","Dante Exum"
"Australia","Joe","Ingles","UTA","Joe Ingles"
"Austria","Jakob","Poeltl","TOR","Jakob Poeltl"
"Bahamas","Buddy","Hield","SAC","Buddy Hield"
"Bosnia and Herzegovina","Ivica","Zubac","LAL","Ivica Zubac"
"Bosnia and Herzegovina","Mirza","Teletovic","MIL","Mirza Teletovic"
"Bosnia and Herzegovina","Jusuf","Nurkic","POR","Jusuf Nurkic"
"Brazil","Cristiano","Felicio","CHI","Cristiano Felicio"
"Brazil","Nene","Hilario","HOU","Nene Hilario"
"Brazil","Bruno","Caboclo","TOR","Bruno Caboclo"
"Brazil","Lucas","Nogueira","TOR","Lucas Nogueira"
"Brazil","Raul","Neto","UTA","Raul Neto"
"Cameroon","Luc","Mbah a Moute","HOU","Luc Mbah a Moute"
"Cameroon","Joel","Embiid","PHI","Joel Embiid"
"Cameroon","Pascal","Siakam","TOR","Pascal Siakam"
"Canada","Tristan","Thompson","CLE","Tristan Thompson"
"Canada","Dwight","Powell","DAL","Dwight Powell"
"Canada","Jamal","Murray","DEN","Jamal Murray"
"Canada","Trey","Lyles","DEN","Trey Lyles"
"Canada","Cory","Joseph","IND","Cory Joseph"
"Canada","Tyler","Ennis","LAL","Tyler Ennis"
"Canada","Dillon","Brooks","MEM","Dillon Brooks"
"Canada","Kelly","Olynyk","MIA","Kelly Olynyk"
"Canada","Andrew","Wiggins","MIN","Andrew Wiggins"
"Canada","Khem","Birch","ORL","Khem Birch"
"Canada","Nik","Stauskas","PHI","Nik Stauskas"
"China","Zhou","Qi","HOU","Zhou Qi"
"Croatia","Ante","Zizic","CLE","Ante Zizic"
"Croatia","Bojan","Bogdanovic","IND","Bojan Bogdanovic"
"Croatia","Mario","Hezonja","ORL","Mario Hezonja"
"Croatia","Dario","Saric","PHI","Dario Saric"
"Croatia","Dragan","Bender","PHX","Dragan Bender"
"Czech Republic","Tomas","Satoransky","WAS","Tomas Satoransky"
"Dem. Republic of the Congo","Emmanuel","Mudiay","DEN","Emmanuel Mudiay"
"Dem. Republic of the Congo","Bismack","Biyombo","ORL","Bismack Biyombo"
"Dominican Republic","Al","Horford","BOS","Al Horford"
"Egypt","Abdel","Nader","BOS","Abdel Nader"
"Finland","Lauri","Markkanen","CHI","Lauri Markkanen"
"France","Guerschon","Yabusele","BOS","Guerschon Yabusele"
"France","Nicolas","Batum","CHA","Nicolas Batum"
"France","Alexis","Ajinca","NOP","Alexis Ajinca"
"France","Frank","Ntilikina","NYK","Frank Ntilikina"
"France","Evan","Fournier","ORL","Evan Fournier"
"France","Timothe","Luwawu-Cabarrot","PHI","Timothe Luwawu-Cabarrot"
"France","Tony","Parker","SAS","Tony Parker"
"France","Joffrey","Lauvergne","SAS","Joffrey Lauvergne"
"France","Rudy","Gobert","UTA","Rudy Gobert"
"France","Ian","Mahinmi","WAS","Ian Mahinmi"
"Georgia","Zaza","Pachulia","GSW","Zaza Pachulia"
"Germany","Dennis","Schroder","ATL","Dennis Schroder"
"Germany","Daniel","Theis","BOS","Daniel Theis"
"Germany","Paul","Zipser","CHI","Paul Zipser"
"Germany","Maxi","Kleber","DAL","Maxi Kleber"
"Germany","Dirk","Nowitzki","DAL","Dirk Nowitzki"
"Greece","Giannis","Antetokounmpo","MIL","Giannis Antetokounmpo"
"Greece","Georgios","Papagiannis","SAC","Georgios Papagiannis"
"Haiti","Skal","Labissiere","SAC","Skal Labissiere"
"Israel","Omri","Casspi","GSW","Omri Casspi"
"Italy","Marco","Belinelli","ATL","Marco Belinelli"
"Italy","Danilo","Gallinari","LAC","Danilo Gallinari"
"Latvia","Kristaps","Porzingis","NYK","Kristaps Porzingis"
"Latvia","Davis","Bertans","SAS","Davis Bertans"
"Lithuania","Domantas","Sabonis","IND","Domantas Sabonis"
"Lithuania","Mindaugas","Kuzminskas","NYK","Mindaugas Kuzminskas"
"Lithuania","Jonas","Valanciunas","TOR","Jonas Valanciunas"
"Mali","Cheick","Diallo","NOP","Cheick Diallo"
"Montenegro","Nikola","Mirotic","CHI","Nikola Mirotic"
"Montenegro","Nikola","Vucevic","ORL","Nikola Vucevic"
"New Zealand","Steven","Adams","OKC","Steven Adams"
"Poland","Marcin","Gortat","WAS","Marcin Gortat"
"Puerto Rico","J.J.","Barea","DAL","J.J. Barea"
"Republic of the Congo","Serge","Ibaka","TOR","Serge Ibaka"
"Russia","Timofey","Mozgov","BKN","Timofey Mozgov"
"Senegal","Gorgui","Dieng","MIN","Gorgui Dieng"
"Serbia","Nikola","Jokic","DEN","Nikola Jokic"
"Serbia","Boban","Marjanovic","DET","Boban Marjanovic"
"Serbia","Milos","Teodosic","LAC","Milos Teodosic"
"Serbia","Nemanja","Bjelica","MIN","Nemanja Bjelica"
"Serbia","Bogdan","Bogdanovic","SAC","Bogdan Bogdanovic"
"Slovenia","Goran","Dragic","MIA","Goran Dragic"
"South Sudan","Luol","Deng","LAL","Luol Deng"
"South Sudan","Thon","Maker","MIL","Thon Maker"
"Spain","Jose","Calderon","CLE","Jose Calderon"
"Spain","Juancho","Hernangomez","DEN","Juancho Hernangomez"
"Spain","Marc","Gasol","MEM","Marc Gasol"
"Spain","Willy","Hernangomez","NYK","Willy Hernangomez"
"Spain","Alex","Abrines","OKC","Alex Abrines"
"Spain","Pau","Gasol","SAS","Pau Gasol"
"Spain","Ricky","Rubio","UTA","Ricky Rubio"
"Sweden","Jonas","Jerebko","UTA","Jonas Jerebko"
"Switzerland","Clint","Capela","HOU","Clint Capela"
"Switzerland","Thabo","Sefolosha","UTA","Thabo Sefolosha"
"Tunisia","Salah","Mejri","DAL","Salah Mejri"
"Turkey","Ersan","Ilyasova","ATL","Ersan Ilyasova"
"Turkey","Cedi","Osman","CLE","Cedi Osman"
"Turkey","Omer","Asik","NOP","Omer Asik"
"Turkey","Enes","Kanter","NYK","Enes Kanter"
"Turkey","Furkan","Korkmaz","PHI","Furkan Korkmaz"
"Ukraine","Alex","Len","PHX","Alex Len"
"United Kingdom","OG","Anunoby","TOR","OG Anunoby"
"Canada","Chris","Boucher","GSW","Chris Boucher"
"Dominican Republic","Luis","Montero","DET","Luis Montero"
"France","Yakuba","Ouattara","BKN","Yakuba Ouattara"
"Puerto Rico","Gian","Clavell","DAL","Gian Clavell"
"Sudan","Mangok","Mathiang","CHA","Mangok Mathiang"
